match_key,career_match_index,career_stage,season,season_match_number,date,day_of_week,week_of_season,days_since_last_match,match_no,total_matches_that_day,total_sets_that_day,multi_game_day,first_match_of_day,last_match_of_day,same_day_opponent_num,opponent,opponent_slug,season_opponent_num,is_repeat_opponent,deaf_school,match_type,event_name,milestone_flag,result,set_scores,set_result,was_set_swept,swept_opponent,set_count,set_diff,comeback_win,win_streak,loss_streak,total_points_for,total_points_against,margin_pct,high_margin_win,low_margin_loss,location,did_play,maxpreps
FR_10-12_BURKE_1,21,early,FR,23,2016-10-12,Wednesday,6,1,1,1,4,False,,,1,Burke,BURKE,1,False,False,conference,,,W,"25-9,25-12,22-25,25-10",3-1,False,False,4,2,False,2,0,97,56,0.2679738562091503,False,False,away,True,https://www.maxpreps.com/games/10-12-2016/volleyball-16/burke-vs-model-secondary-school-for-the-deaf.htm?c=Us4trl_zYE-CmlSfbnhPPg#tab=box-score&schoolid=
FR_10-13_BHA_1,22,early,FR,24,2016-10-13,Thursday,7,1,1,1,3,False,,,1,Berman Hebrew Academy,BHA,1,False,False,conference,,,W,"25-3,25-4,25-9",3-0,False,True,3,3,False,3,0,75,16,0.6483516483516484,True,False,away,True,https://www.maxpreps.com/games/10-13-2016/volleyball-16/berman-hebrew-academy-vs-model-secondary-school-for-the-deaf.htm?c=wBOWsi4yKU-0NsYO6AW5gA#tab=box-score&schoolid=
FR_10-15_MISD_1,23,early,FR,25,2016-10-15,Saturday,7,2,1,1,3,False,,,1,Mississippi School for the Deaf,MISD,1,False,True,regular,,,W,"25-15,25-14,25-13",3-0,False,True,3,3,False,4,0,75,42,0.28205128205128205,False,False,home,True,https://www.maxpreps.com/games/10-15-2016/volleyball-16/mississippi-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=QLQua9MRV06tGzikyS_X5Q#tab=box-score&schoolid=
FR_10-18_SAA_1,24,early,FR,26,2016-10-18,Tuesday,7,3,1,1,3,False,,,1,Spencerville Adventist Academy,SAA,1,False,False,conference,,,W,"25-15,25-9,25-9",3-0,False,True,3,3,False,5,0,75,33,0.3888888888888889,False,False,home,True,https://www.maxpreps.com/games/10-18-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-spencerville-adventist-academy.htm?c=dOdx3x38hUGxQ27mlnE5lw#tab=box-score&schoolid=
FR_10-19_WIS_1,25,early,FR,27,2016-10-19,Wednesday,7,1,1,1,5,False,,,1,Washington International,WIS,1,False,False,conference,,,L,"23-25,14-25,25-18,25-19,10-15",2-3,False,False,5,-1,False,0,1,97,102,-0.02512562814070352,False,True,home,True,https://www.maxpreps.com/games/10-19-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-washington-international.htm?c=3wDvA7Z8JkS_UPTSjFy3kA#tab=box-score&schoolid=
FR_10-20_FIELD_1,26,early,FR,28,2016-10-20,Thursday,8,1,1,1,3,False,,,1,Field,FIELD,1,False,False,conference,,,W,"25-4,25-10,25-16",3-0,False,True,3,3,False,1,0,75,30,0.42857142857142855,False,False,away,True,https://www.maxpreps.com/games/10-20-2016/volleyball-16/field-vs-model-secondary-school-for-the-deaf.htm?c=c2uXDnz9_E-5t8OAyhaZdA#tab=box-score&schoolid=
FR_10-21_SRSSH_1,27,early,FR,29,2016-10-21,Friday,8,1,1,1,4,False,,,1,Stone Ridge School of the Sacred Heart,SRSSH,1,False,False,regular,,,L,"14-25,23-25,25-17,16-25",1-3,False,False,4,-2,False,0,1,78,92,-0.08235294117647059,False,True,home,True,https://www.maxpreps.com/games/10-21-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-stone-ridge-school-of-the-sacred-heart.htm?c=nVB-PHRnU0W-XWA-RQ6dcg#tab=box-score&schoolid=
FR_10-24_CL_1,28,early,FR,30,2016-10-24,Monday,8,3,1,1,3,False,,,1,Covenant Life,CL,1,False,False,conference,,,L,"18-25,19-25,19-25",0-3,True,False,3,-3,False,0,2,56,75,-0.1450381679389313,False,False,away,True,https://www.maxpreps.com/games/10-24-2016/volleyball-16/covenant-life-vs-model-secondary-school-for-the-deaf.htm?c=HwFfJ1cHOESVd3ar6pDj9g#tab=box-score&schoolid=
FR_10-26_KAA_1,29,early,FR,31,2016-10-26,Wednesday,8,2,1,1,3,False,,,1,King Abdullah Academy,KAA,1,False,False,regular,,,L,"21-25,17-25,17-25",0-3,True,False,3,-3,False,0,3,55,75,-0.15384615384615385,False,False,away,True,https://www.maxpreps.com/games/10-26-2016/volleyball-16/king-abdullah-academy-vs-model-secondary-school-for-the-deaf.htm?c=-tOrhWspCEeA5i44Oqpqsg#tab=box-score&schoolid=
FR_10-27_GTD_1,30,early,FR,32,2016-10-27,Thursday,9,1,1,1,3,False,,,1,Georgetown Day,GTD,1,False,False,regular,,,L,"23-25,18-25,20-25",0-3,True,False,3,-3,False,0,4,61,75,-0.10294117647058823,False,False,away,True,https://www.maxpreps.com/games/10-27-2016/volleyball-16/georgetown-day-vs-model-secondary-school-for-the-deaf.htm?c=R3MWzYqaokauTCV50skhGg#tab=box-score&schoolid=
FR_11-08_PARKSIDE_1,31,early,FR,33,2016-11-08,Tuesday,10,12,1,1,3,False,,,1,Parkside,PARKSIDE,1,False,False,playoff,,,W,"25-10,25-13,25-7",3-0,False,True,3,3,False,1,0,75,30,0.42857142857142855,False,False,home,True,https://www.maxpreps.com/games/11-08-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-parkside.htm?c=mx6fmINk5EK6YawEoc4h1A#tab=box-score&schoolid=
FR_11-09_WILSON_1,32,early,FR,34,2016-11-09,Wednesday,10,1,1,1,3,False,,,1,Woodrow Wilson,WILSON,2,True,False,playoff,DCSAA State Tournament Quarterfinals,,W,"25-21,25-17,25-15",3-0,False,True,3,3,False,2,0,75,53,0.171875,False,False,away,True,https://www.maxpreps.com/games/11-09-2016/volleyball-16/jackson-reed-vs-model-secondary-school-for-the-deaf.htm?c=RTKAoLMPCk63gR0nYK7KEw#tab=box-score&schoolid=
FR_11-10_MARET_1,33,early,FR,35,2016-11-10,Thursday,11,1,1,1,3,False,,,1,Maret,MARET,1,False,False,playoff,DCSAA State Tournament Semifinals,,W,"25-23,25-17,25-23",3-0,False,True,3,3,False,3,0,75,63,0.08695652173913043,False,False,home,True,https://www.maxpreps.com/games/11-10-2016/volleyball-16/maret-vs-model-secondary-school-for-the-deaf.htm?c=96mssrBQ20WDyAp_g56jLg#tab=box-score&schoolid=
FR_11-11_SJ_1,34,early,FR,36,2016-11-11,Friday,11,1,1,1,3,False,,,1,St. John's,SJ,1,False,False,championship,DCSAA State Tournament Championship,last FR match,L,"12-25,13-25,15-25",0-3,True,False,3,-3,False,0,1,40,75,-0.30434782608695654,False,False,neutral,True,https://www.maxpreps.com/games/11-11-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-st-johns.htm?c=poFrFJ7iK0eyg9kZPUOQaw#tab=box-score&schoolid=
SO_08-29_SAA_1,35,early,SO,1,2017-08-29,Tuesday,1,291,1,1,3,False,,,1,Spencerville Adventist Academy,SAA,1,False,False,regular,,first SO match,W,"25-18,25-5,25-12",3-0,False,True,3,3,False,1,0,75,35,0.36363636363636365,False,False,home,True,https://www.maxpreps.com/games/08-29-2017/volleyball-17/model-secondary-school-for-the-deaf-vs-spencerville-adventist-academy.htm?c=EysMl__wXEWyKfHgNVfpEQ#tab=box-score&schoolid=
SO_09-05_MARET_1,36,early,SO,2,2017-09-05,Tuesday,2,7,1,1,3,False,,,1,Maret,MARET,1,False,False,regular,,,L,"19-25,14-25,18-25",0-3,True,False,3,-3,False,0,1,51,75,-0.19047619047619047,False,False,away,True,https://www.maxpreps.com/games/09-05-2017/volleyball-17/maret-vs-model-secondary-school-for-the-deaf.htm?c=cnUwxUF910qvo_byQLATdQ#tab=box-score&schoolid=
SO_09-07_BW_1,37,early,SO,3,2017-09-07,Thursday,2,2,1,1,3,False,,,1,Brookewood,BW,1,False,False,regular,,,W,"25-8,25-16,25-6",3-0,False,True,3,3,False,1,0,75,30,0.42857142857142855,False,False,home,True,https://www.maxpreps.com/games/09-07-2017/volleyball-17/brookewood-vs-model-secondary-school-for-the-deaf.htm?c=6TewSwa2p0eGwUFJqfNdbA#tab=box-score&schoolid=
SO_09-09_AASD_1,38,early,SO,4,2017-09-09,Saturday,2,2,1,2,6,True,True,False,1,Atlanta Area School for the Deaf,AASD,1,False,True,regular,,,W,"25-6,25-10,25-9",3-0,False,True,3,3,False,2,0,75,25,0.5,False,False,neutral,True,https://www.maxpreps.com/games/09-09-2017/volleyball-17/atlanta-area-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=NGJtcTostUS-zUwoR-XM_g#tab=box-score&schoolid=
SO_09-09_AIDB_2,39,mid,SO,5,2017-09-09,Saturday,2,0,2,2,6,True,False,True,1,Alabama School for the Deaf,AIDB,1,False,True,regular,,,W,"25-13,25-9,25-10",3-0,False,True,3,3,False,3,0,75,32,0.40186915887850466,False,False,away,True,https://www.maxpreps.com/games/09-09-2017/volleyball-17/alabama-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=Ed5SCbZmm0yep11pUl3Caw#tab=box-score&schoolid=
SO_09-12_WCA_1,40,mid,SO,6,2017-09-12,Tuesday,3,3,1,1,3,False,,,1,Washington Christian Academy,WCA,1,False,False,conference,,,W,"25-8,25-11,25-12",3-0,False,True,3,3,False,4,0,75,31,0.41509433962264153,False,False,away,True,https://www.maxpreps.com/games/09-12-2017/volleyball-17/model-secondary-school-for-the-deaf-vs-washington-christian-academy.htm?c=mujWv8l3TkaJ3JtoMOy_Eg#tab=box-score&schoolid=
SO_09-14_MCLEAN_1,41,mid,SO,7,2017-09-14,Thursday,3,2,1,1,3,False,,,1,McLean,MCLEAN,1,False,False,conference,,,W,"25-8,25-10,25-12",3-0,False,True,3,3,False,5,0,75,30,0.42857142857142855,False,False,home,True,https://www.maxpreps.com/games/09-14-2017/volleyball-17/mclean-vs-model-secondary-school-for-the-deaf.htm?c=a9ksnSw3I025jlIEVO8hMw#tab=box-score&schoolid=
