match_key,career_match_index,career_stage,season,season_match_number,date,day_of_week,week_of_season,days_since_last_match,match_no,total_matches_that_day,total_sets_that_day,multi_game_day,first_match_of_day,last_match_of_day,same_day_opponent_num,opponent,opponent_slug,season_opponent_num,is_repeat_opponent,deaf_school,match_type,event_name,milestone_flag,result,set_scores,set_count,set_result,set_diff,location,comeback_win,total_points_for,total_points_against,margin_pct,high_margin_win,low_margin_loss,did_play,played_all_sets,stats_available,season_highs_flags,career_highs_flags,record_breaker_flag,deciding_set_win,deciding_set_loss,low_error_game,win_streak,loss_streak,was_set_swept,swept_opponent,deciding_set_played,sets_played,kills,kills_per_set,kill_pct,kill_attempts,kill_errors,hit_pct,assists,assists_per_set,ball_handling_attempts,ball_handling_errors,solo_blocks,assisted_blocks,total_blocks,blocks_per_set,block_errors,digs,dig_errors,digs_per_set,receiving,receiving_errors,receiving_per_set,aces,aces_per_set,ace_pct,serve_attempts,serve_errors,serve_pct,points,maxpreps
FR_10-08_CSDR_3,17,early,FR,21,2016-10-08,Saturday,6,0,3,3,7,True,False,True,1,California School for the Deaf-Riverside,CSDR,2,True,True,regular,SpikeOut 2016 @ Indiana,,L,"27-25,17-25,9-15",3,1-2,-1,neutral,False,53,65,-0.102,False,False,True,True,True,,,False,False,False,False,0,5,False,False,True,3,4.0,1.3,18.2,22.0,3.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.7,7.0,3.0,2.3,0.0,0.0,0.0,3,0,100.0,0,https://www.maxpreps.com/games/10-08-2016/volleyball-16/california-school-for-the-deaf-riverside-vs-model-secondary-school-for-the-deaf.htm?c=EOTlFc410ESAEZ792PdFiA#tab=box-score&schoolid=
FR_10-11_RB_1,20,early,FR,22,2016-10-11,Tuesday,6,3,1,1,3,False,,,1,Riverdale Baptist,RB,2,True,False,regular,,,W,"25-15,25-11,25-12",3,3-0,3,home,False,75,38,0.327,False,False,True,True,True,,,False,False,False,False,1,0,False,True,False,3,2.0,0.7,13.3,15.0,1.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,3.7,15.0,3.0,5.0,0.0,0.0,0.0,5,1,80.0,0,https://www.maxpreps.com/games/10-11-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-riverdale-baptist.htm?c=LTfs0953zkmtl3g-YTlQmw#tab=box-score&schoolid=
FR_10-12_BURKE_1,21,early,FR,23,2016-10-12,Wednesday,6,1,1,1,4,False,,,1,Burke,BURKE,1,False,False,conference,,,W,"25-9,25-12,22-25,25-10",4,3-1,2,away,False,97,56,0.268,False,False,True,True,True,,,False,False,False,False,2,0,False,False,False,4,5.0,1.3,27.8,18.0,3.0,0.111,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.5,9.0,1.0,2.3,1.0,0.3,10.0,10,0,100.0,0,https://www.maxpreps.com/games/10-12-2016/volleyball-16/burke-vs-model-secondary-school-for-the-deaf.htm?c=Us4trl_zYE-CmlSfbnhPPg#tab=box-score&schoolid=
FR_10-13_BHA_1,22,early,FR,24,2016-10-13,Thursday,7,1,1,1,3,False,,,1,Berman Hebrew Academy,BHA,1,False,False,conference,,,W,"25-3,25-4,25-9",3,3-0,3,away,False,75,16,0.648,True,False,True,True,True,,,False,False,False,False,3,0,False,True,False,3,4.0,1.3,66.7,6.0,2.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.3,3.0,0.0,1.0,2.0,0.7,50.0,4,1,75.0,0,https://www.maxpreps.com/games/10-13-2016/volleyball-16/berman-hebrew-academy-vs-model-secondary-school-for-the-deaf.htm?c=wBOWsi4yKU-0NsYO6AW5gA#tab=box-score&schoolid=
FR_10-15_MISD_1,23,early,FR,25,2016-10-15,Saturday,7,2,1,1,3,False,,,1,Mississippi School for the Deaf,MISD,1,False,True,regular,,,W,"25-15,25-14,25-13",3,3-0,3,home,False,75,42,0.282,False,False,True,True,True,assists,,False,False,False,False,4,0,False,True,False,3,9.0,3.0,33.3,27.0,6.0,0.111,2.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.7,5.0,1.0,1.7,2.0,0.7,16.7,12,0,100.0,0,https://www.maxpreps.com/games/10-15-2016/volleyball-16/mississippi-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=QLQua9MRV06tGzikyS_X5Q#tab=box-score&schoolid=
FR_10-18_SAA_1,24,early,FR,26,2016-10-18,Tuesday,7,3,1,1,3,False,,,1,Spencerville Adventist Academy,SAA,1,False,False,conference,,,W,"25-15,25-9,25-9",3,3-0,3,home,False,75,33,0.389,False,False,True,True,True,,,False,False,False,False,5,0,False,True,False,3,3.0,1.0,10.3,29.0,5.0,-0.069,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,5.7,16.0,1.0,5.3,10.0,3.3,37.0,27,1,96.3,0,https://www.maxpreps.com/games/10-18-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-spencerville-adventist-academy.htm?c=dOdx3x38hUGxQ27mlnE5lw#tab=box-score&schoolid=
FR_10-19_WIS_1,25,early,FR,27,2016-10-19,Wednesday,7,1,1,1,5,False,,,1,Washington International,WIS,1,False,False,conference,,,L,"23-25,14-25,25-18,25-19,10-15",5,2-3,-1,home,False,97,102,-0.025,False,True,True,True,True,digs,,False,False,False,False,0,1,False,False,True,5,5.0,1.0,16.1,31.0,2.0,0.097,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,4.6,16.0,1.0,3.2,4.0,0.8,30.8,13,1,92.3,0,https://www.maxpreps.com/games/10-19-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-washington-international.htm?c=3wDvA7Z8JkS_UPTSjFy3kA#tab=box-score&schoolid=
FR_10-20_FIELD_1,26,early,FR,28,2016-10-20,Thursday,8,1,1,1,3,False,,,1,Field,FIELD,1,False,False,conference,,,W,"25-4,25-10,25-16",3,3-0,3,away,False,75,30,0.429,False,False,True,False,True,,,False,False,False,True,1,0,False,True,False,1,3.0,3.0,60.0,5.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0,0,0.0,0,https://www.maxpreps.com/games/10-20-2016/volleyball-16/field-vs-model-secondary-school-for-the-deaf.htm?c=c2uXDnz9_E-5t8OAyhaZdA#tab=box-score&schoolid=
FR_10-21_SRSSH_1,27,early,FR,29,2016-10-21,Friday,8,1,1,1,4,False,,,1,Stone Ridge School of the Sacred Heart,SRSSH,1,False,False,regular,,,L,"14-25,23-25,25-17,16-25",4,1-3,-2,home,False,78,92,-0.082,False,True,True,True,True,receiving,,False,False,False,False,0,1,False,False,False,4,5.0,1.3,20.8,24.0,2.0,0.125,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,4.5,23.0,2.0,5.8,1.0,0.3,10.0,10,1,90.0,0,https://www.maxpreps.com/games/10-21-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-stone-ridge-school-of-the-sacred-heart.htm?c=nVB-PHRnU0W-XWA-RQ6dcg#tab=box-score&schoolid=
FR_10-24_CL_1,28,early,FR,30,2016-10-24,Monday,8,3,1,1,3,False,,,1,Covenant Life,CL,1,False,False,conference,,,L,"18-25,19-25,19-25",3,0-3,-3,away,False,56,75,-0.145,False,False,True,True,True,,,False,False,False,False,0,2,True,False,False,3,2.0,0.7,10.0,20.0,3.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.7,17.0,4.0,5.7,0.0,0.0,0.0,5,1,80.0,0,https://www.maxpreps.com/games/10-24-2016/volleyball-16/covenant-life-vs-model-secondary-school-for-the-deaf.htm?c=HwFfJ1cHOESVd3ar6pDj9g#tab=box-score&schoolid=
