date,opponent,result,set_scores,set_result,set_count,set_diff,h_a_n,is_conference,is_playoffs,is_tournament,maxpreps
10/08,California School for the Deaf,L,"18-25,20-25",0-2,2,-2,neutral,False,False,True,https://www.maxpreps.com/games/10-08-2016/volleyball-16/california-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=fuAmSgfRsUuIfu9RrW5Euw#tab=box-score&schoolid=
10/08,California School for the Deaf-Riverside,L,"27-25,17-25,9-15",1-2,3,-1,neutral,False,False,True,https://www.maxpreps.com/games/10-08-2016/volleyball-16/california-school-for-the-deaf-riverside-vs-model-secondary-school-for-the-deaf.htm?c=EOTlFc410ESAEZ792PdFiA#tab=box-score&schoolid=
10/11,Riverdale Baptist,W,"25-15,25-11,25-12",3-0,3,3,home,False,False,False,https://www.maxpreps.com/games/10-11-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-riverdale-baptist.htm?c=LTfs0953zkmtl3g-YTlQmw#tab=box-score&schoolid=
10/12,Burke,W,"25-9,25-12,22-25,25-10",3-1,4,2,away,True,False,False,https://www.maxpreps.com/games/10-12-2016/volleyball-16/burke-vs-model-secondary-school-for-the-deaf.htm?c=Us4trl_zYE-CmlSfbnhPPg#tab=box-score&schoolid=
10/13,Berman Hebrew Academy,W,"25-3,25-4,25-9",3-0,3,3,away,True,False,False,https://www.maxpreps.com/games/10-13-2016/volleyball-16/berman-hebrew-academy-vs-model-secondary-school-for-the-deaf.htm?c=wBOWsi4yKU-0NsYO6AW5gA#tab=box-score&schoolid=
10/15,Mississippi School for the Deaf,W,"25-15,25-14,25-13",3-0,3,3,home,False,False,False,https://www.maxpreps.com/games/10-15-2016/volleyball-16/mississippi-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=QLQua9MRV06tGzikyS_X5Q#tab=box-score&schoolid=
10/18,Spencerville Adventist Academy,W,"25-15,25-9,25-9",3-0,3,3,home,True,False,False,https://www.maxpreps.com/games/10-18-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-spencerville-adventist-academy.htm?c=dOdx3x38hUGxQ27mlnE5lw#tab=box-score&schoolid=
10/19,Washington International,L,"23-25,14-25,25-18,25-19,10-15",2-3,5,-1,home,True,False,False,https://www.maxpreps.com/games/10-19-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-washington-international.htm?c=3wDvA7Z8JkS_UPTSjFy3kA#tab=box-score&schoolid=
10/20,Field,W,"25-4,25-10,25-16",3-0,3,3,away,True,False,False,https://www.maxpreps.com/games/10-20-2016/volleyball-16/field-vs-model-secondary-school-for-the-deaf.htm?c=c2uXDnz9_E-5t8OAyhaZdA#tab=box-score&schoolid=
10/21,Stone Ridge School of the Sacred Heart,L,"14-25,23-25,25-17,16-25",1-3,4,-2,home,False,False,False,https://www.maxpreps.com/games/10-21-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-stone-ridge-school-of-the-sacred-heart.htm?c=nVB-PHRnU0W-XWA-RQ6dcg#tab=box-score&schoolid=
10/24,Covenant Life,L,"18-25,19-25,19-25",0-3,3,-3,away,True,False,False,https://www.maxpreps.com/games/10-24-2016/volleyball-16/covenant-life-vs-model-secondary-school-for-the-deaf.htm?c=HwFfJ1cHOESVd3ar6pDj9g#tab=box-score&schoolid=
10/26,King Abdullah Academy,L,"21-25,17-25,17-25",0-3,3,-3,away,False,False,False,https://www.maxpreps.com/games/10-26-2016/volleyball-16/king-abdullah-academy-vs-model-secondary-school-for-the-deaf.htm?c=-tOrhWspCEeA5i44Oqpqsg#tab=box-score&schoolid=
10/27,Georgetown Day,L,"23-25,18-25,20-25",0-3,3,-3,away,False,False,False,https://www.maxpreps.com/games/10-27-2016/volleyball-16/georgetown-day-vs-model-secondary-school-for-the-deaf.htm?c=R3MWzYqaokauTCV50skhGg#tab=box-score&schoolid=
11/08,Parkside,W,"25-10,25-13,25-7",3-0,3,3,home,False,True,True,https://www.maxpreps.com/games/11-08-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-parkside.htm?c=mx6fmINk5EK6YawEoc4h1A#tab=box-score&schoolid=
11/09,Jackson-Reed,W,"25-21,25-17,25-15",3-0,3,3,away,False,True,True,https://www.maxpreps.com/games/11-09-2016/volleyball-16/jackson-reed-vs-model-secondary-school-for-the-deaf.htm?c=RTKAoLMPCk63gR0nYK7KEw#tab=box-score&schoolid=
11/10,Maret,W,"25-23,25-17,25-23",3-0,3,3,home,False,True,True,https://www.maxpreps.com/games/11-10-2016/volleyball-16/maret-vs-model-secondary-school-for-the-deaf.htm?c=96mssrBQ20WDyAp_g56jLg#tab=box-score&schoolid=
11/11,St. John's,L,"12-25,13-25,15-25",0-3,3,-3,neutral,False,True,True,https://www.maxpreps.com/games/11-11-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-st-johns.htm?c=poFrFJ7iK0eyg9kZPUOQaw#tab=box-score&schoolid=
