date,opponent,result,set_scores,set_result,set_count,set_diff,h_a_n,is_conference,is_playoffs,is_tournament,maxpreps
10/12,King Abdullah Academy,W,"25-19,25-18",2-0,2,2,neutral,False,False,True,https://www.maxpreps.com/games/10-12-2019/volleyball-19/king-abdullah-academy-vs-model-secondary-school-for-the-deaf.htm?c=4o5xHQERTUCLFvhSNxhPvQ
10/12,Mount Airy Christian Academy,W,"25-18,25-21",2-0,2,2,neutral,False,False,True,https://www.maxpreps.com/games/10-12-2019/volleyball-19/model-secondary-school-for-the-deaf-vs-mount-airy-christian-academy.htm?c=97D32zj27UyiyV9SIHUNYw
10/15,Washington International,W,"25-23,25-17,25-19",3-0,3,3,away,True,False,False,https://www.maxpreps.com/games/10-15-2019/volleyball-19/model-secondary-school-for-the-deaf-vs-washington-international.htm?c=g6pJ4R30lkGUr0XSGqZzQg
10/17,Barrie,W,"25-9,25-10,25-7",3-0,3,3,away,True,False,False,https://www.maxpreps.com/games/10-17-2019/volleyball-19/barrie-vs-model-secondary-school-for-the-deaf.htm?c=Y5g55yVQRU2fOo5YKgnw-w
10/18,King Abdullah Academy,W,"23-25,25-14,25-10,25-19",3-1,4,2,home,True,False,False,https://www.maxpreps.com/games/10-18-2019/volleyball-19/king-abdullah-academy-vs-model-secondary-school-for-the-deaf.htm?c=ff0wp3edSkmUy0ZVzt_rYQ
10/21,McLean,W,NA,0-0,0,0,home,False,False,False,https://www.maxpreps.com/games/10-21-2019/volleyball-19/mclean-vs-model-secondary-school-for-the-deaf.htm?c=YN2GPO_oJUe9am8W3ZCb_A
10/23,Berman Hebrew Academy,W,"25-9,25-16,25-16",3-0,3,3,home,True,True,True,https://www.maxpreps.com/games/10-23-2019/volleyball-19/model-secondary-school-for-the-deaf-vs-varsity-opponent.htm?c=4SpEKTKm40mNlVqXSY8llQ
10/28,Sandy Spring Friends,W,"25-15,25-19,25-8",3-0,3,3,home,True,True,True,https://www.maxpreps.com/games/10-28-2019/volleyball-19/model-secondary-school-for-the-deaf-vs-sandy-spring-friends.htm?c=seZY-aU7r0O3adxoOvkc0w
10/30,Washington International,W,"25-18,26-24,25-18",3-0,3,3,neutral,True,True,True,https://www.maxpreps.com/games/10-30-2019/volleyball-19/model-secondary-school-for-the-deaf-vs-washington-international.htm?c=GglwmyeMkEOGgntR9jsatw
11/05,Bell,W,"25-14,25-14,25-13",3-0,3,3,away,False,True,True,https://www.maxpreps.com/games/11-05-2019/volleyball-19/bell-vs-model-secondary-school-for-the-deaf.htm?c=VcPx0s5gm0y4-10r8YIcYw
11/06,St. John's,L,"20-25,20-25,14-25",0-3,3,-3,away,False,True,True,https://www.maxpreps.com/games/11-06-2019/volleyball-19/model-secondary-school-for-the-deaf-vs-st-johns.htm?c=eSZ4h7I5E0OFrIple4uZbw
